intent_id,cluster,subcluster,canonical_question,buyer_stage,frequency_band,purchase_proximity,research_priority,yaai_business_priority,target_url,commercial_target,wordstat_omsk_max,wordstat_oblast_max,wordstat_omsk_phrase_count,wordstat_oblast_phrase_count,wordstat_omsk_strongest_phrase,wordstat_oblast_strongest_phrase,wordstat_relative_band_omsk,wordstat_relative_band_oblast,wordstat_signal_status,wordstat_checked_at,gsc_impressions_28d,gsc_clicks_28d,yandex_impressions_28d,first_party_evidence_required,required_media,cta,publication_status
B14,bani,foundation,Какой фундамент нужен под мобильную / Квадро баню?,technical-check,high,5,P1-shortlist,P1,/guides/bani/fundament-dlya-mobilnoy-bani/,/mobilnaya-banya-omsk/,116,183,53,62,фундамент под баню,фундамент под баню,medium,high,matched_top_queries,2026-09-15T13:42:09.356Z,,,,yes,support-point drawing; blocks/base photos; printable checklist,Отправить фото места установки,published
B15,bani,site-prep,Как подготовить площадку до приезда бани?,pre-order,high,5,unranked,P1,/guides/bani/podgotovka-uchastka-dostavka-manipulyator/,/mobilnaya-banya-omsk/,0,0,0,0,,,none,none,no_matched_top_query_current_batch,2026-09-15T13:42:09.356Z,,,,yes,checklist; before/after site photos,Пришлите фото участка,published
B16,bani,drainage,Куда отводить воду из бани и что со сливом зимой?,operation,medium,4,unranked,P2,/guides/bani/sliv-vody-iz-bani/,/mobilnaya-banya-omsk/,5,5,2,2,баня зимой замерзает вода,баня зимой замерзает вода,medium,low,matched_top_queries,2026-09-15T13:42:09.356Z,,,,yes,actual drain design; winter-use photos,,research
B17,bani,winter,Можно ли пользоваться мобильной баней зимой?,risk-removal,high,4,P1-shortlist,P1,/guides/bani/banya-zimoy-omsk/,/mobilnaya-banya-omsk/,82,130,25,31,баня зимой,баня зимой,medium,medium,matched_top_queries,2026-09-15T13:42:09.356Z,,,,yes,temperature log; -10/-20/-30 test; video,Приехать посмотреть образец,hold_evidence
B18,bani,thermal,"Толщина стены 45 мм — достаточно ли, как баня прогревается?",technical-comparison,medium,4,unranked,P2,/guides/bani/tolshina-sten-i-progrev/,/mobilnaya-banya-omsk/,0,0,0,0,,,none,none,no_matched_top_query_current_batch,2026-09-15T13:42:09.356Z,,,,yes,controlled heating test; wall detail photos,,research
B19,bani,stove,Какую печь и дымоход выбирать для компактной бани?,technical-choice,medium,4,unranked,P2,/guides/bani/pech-i-dymohod/,/mobilnaya-banya-omsk/,3,3,2,3,готовые печи для бани,готовые печи для бани,low,low,matched_top_queries,2026-09-15T13:42:09.356Z,,,,yes,actual stove/chimney/pass-through photos,,research
B20,bani,material,Кедр или сосна/ель — за что есть смысл платить?,material-comparison,high,4,unranked,P2,/guides/bani/kedr-ili-sosna/,/mobilnaya-banya-omsk/,121,130,13,14,кедровые бани,кедровые бани,medium,medium,matched_top_queries,2026-09-15T13:42:09.356Z,,,,yes,wood closeups; verified drying/material data,,research
B21,bani,quality,Как проверить качество готовой бани перед покупкой/приёмкой?,trust,high,5,P1-shortlist,P1,/guides/bani/chek-list-priemki-gotovoy-bani/,/mobilnaya-banya-omsk/,0,0,0,0,,,none,none,no_matched_top_query_current_batch,2026-09-15T13:42:09.356Z,,,,yes,downloadable checklist; production photos; 7-min inspection video,Приехать и проверить образец самостоятельно,published
B22,bani,showroom,Где посмотреть настоящую баню перед покупкой?,verification,medium,5,unranked,P2,/guides/bani/gde-posmotret-banyu-v-omske/,/mobilnaya-banya-omsk/,0,0,0,0,,,none,none,no_matched_top_query_current_batch,2026-09-15T13:42:09.356Z,,,,yes,showroom photos; route/map,,research
B23,bani,manufacturer,"Как понять, что производителю можно доверять: договор, цех, гарантия?",verification,high,5,unranked,P1,/guides/bani/kak-vybrat-proizvoditelya/,/mobilnaya-banya-omsk/,0,0,0,0,,,none,none,no_matched_top_query_current_batch,2026-09-15T13:42:09.356Z,,,,yes,workshop; team; contract/warranty facts; review sources,,research
B24,bani,care,Как ухаживать за кедровой/мобильной баней после установки?,post-purchase,medium,2,unranked,P3,/guides/bani/uhod-za-derevyannoy-baney/,/mobilnaya-banya-omsk/,0,0,0,0,,,none,none,no_matched_top_query_current_batch,2026-09-15T13:42:09.356Z,,,,yes,maintenance photos; actual instructions,,research
D01,uchastok,drilling,"Когда бурить скважину: до строительства дома, забора и благоустройства или после?",planning,high,4,P1-shortlist,P1,/guides/uchastok/kogda-burit-skvazhinu/,/burenie-skvazhiny-omsk/,0,0,0,0,,,none,none,no_matched_top_query_current_batch,2026-09-15T13:42:09.356Z,,,,yes,site sequence scheme; drilling-rig photos,Отправить адрес/план участка для предварительной оценки,research
D02,uchastok,drilling,Где лучше разместить скважину на участке и как оставить подъезд буровой?,preparation,high,5,unranked,P2,/guides/uchastok/gde-razmestit-skvazhinu/,/burenie-skvazhiny-omsk/,0,0,0,0,,,none,none,no_matched_top_query_current_batch,2026-09-15T13:42:09.356Z,,,,yes,site scheme; rig access photos,,research
D03,uchastok,drilling,Можно ли бурить скважину зимой?,seasonal-objection,medium,4,unranked,P2,/guides/uchastok/burenie-skvazhiny-zimoy/,/burenie-skvazhiny-omsk/,0,0,0,0,,,none,none,no_matched_top_query_current_batch,2026-09-15T13:42:09.356Z,,,,yes,winter rig photos; verified equipment limits,,research
D04,uchastok,drilling,Как понять глубину и итоговую стоимость скважины до бурения?,budget,high,5,unranked,P1,/guides/uchastok/skolko-stoit-skvazhina-v-omske/,/burenie-skvazhiny-omsk/,27,55,2,2,бурение скважин цена,бурение скважин цена,medium,medium,matched_top_queries,2026-09-15T13:42:09.356Z,,,,yes,pricing formula; sample estimates,,research
S01,remont,screed,Полусухая или обычная мокрая стяжка — что выбрать?,technology-choice,high,4,unranked,P1,/guides/remont/polusuhaya-ili-mokraya-styazhka/,/polusuhaya-styazhka-omsk/,1320,1636,192,193,полусухая стяжка,полусухая стяжка,high,high,matched_top_queries,2026-09-15T13:42:09.356Z,,,,yes,cross-section diagram; project photos,,research
S02,remont,screed,Какая минимальная толщина полусухой стяжки и сколько нужно над тёплым полом?,technical-calc,high,5,unranked,P2,/guides/remont/tolshina-polusuhoy-styazhki/,/polusuhaya-styazhka-omsk/,0,0,0,0,,,none,none,no_matched_top_query_current_batch,2026-09-15T13:42:09.356Z,,,,yes,section diagram; verified spec sources,,research
S03,remont,screed,Сколько сохнет полусухая стяжка: когда можно ходить и укладывать ламинат/плитку?,planning,high,4,unranked,P2,/guides/remont/skolko-sohnet-polusuhaya-styazhka/,/polusuhaya-styazhka-omsk/,4,5,1,1,сколько сохнет полусухая стяжка,сколько сохнет полусухая стяжка,low,low,matched_top_queries,2026-09-15T13:42:09.356Z,,,,yes,timeline diagram; verified mix/process data,,research
S04,remont,sequence,Что сначала — штукатурка или стяжка?,planning,high,4,P1-shortlist,P1,/guides/remont/shtukaturka-ili-styazhka-chto-snachala/,/polusuhaya-styazhka-omsk/,0,0,0,0,,,none,none,no_matched_top_query_current_batch,2026-09-15T13:42:09.356Z,,,,yes,repair timeline; site photos,Рассчитать штукатурку и стяжку на одном объекте,research
P01,remont,plaster,Механизированная или ручная штукатурка — что выгоднее и когда?,technology-choice,high,4,unranked,P1,/guides/remont/mehanizirovannaya-ili-ruchnaya-shtukaturka/,/mehanizirovannaya-shtukaturka-omsk/,559,766,47,53,механизированная штукатурка,механизированная штукатурка,high,high,matched_top_queries,2026-09-15T13:42:09.356Z,,,,yes,station/workflow photos; comparison table,,research
P02,remont,plaster,Гипсовая или цементно-песчаная штукатурка — где какую применять?,material-choice,high,4,unranked,P2,/guides/remont/gipsovaya-ili-tsementnaya-shtukaturka/,/mehanizirovannaya-shtukaturka-omsk/,10,10,3,3,механизированная гипсовая штукатурка,механизированная гипсовая штукатурка,medium,medium,matched_top_queries,2026-09-15T13:42:09.356Z,,,,yes,surface/material photos; manufacturer docs,,research
P03,remont,plaster,От чего зависит цена механизированной штукатурки за м²?,budget,high,5,unranked,P1,/guides/remont/stoimost-mehanizirovannoy-shtukaturki/,/mehanizirovannaya-shtukaturka-omsk/,2,2,1,1,механизированная штукатурка цена,механизированная штукатурка цена,low,low,matched_top_queries,2026-09-15T13:42:09.356Z,,,,yes,pricing-factor calculator; sample estimates,,research
P04,remont,plaster,Можно ли делать штукатурку зимой и какие условия нужны внутри?,seasonal-objection,medium,4,unranked,P2,/guides/remont/shtukaturka-zimoy/,/mehanizirovannaya-shtukaturka-omsk/,0,0,0,0,,,none,none,no_matched_top_query_current_batch,2026-09-15T13:42:09.356Z,,,,yes,winter-site photos; manufacturer technical requirements,,research
